FID,IZ05CD,IZ05NM
740,S02000488,Rosyth East
741,S02000489,Rosyth North
742,S02000490,Cairneyhill and Crombie
743,S02000491,"Crossford, Charleston and Limekilns"
744,S02000492,Dunfermline Pitcorthie West
745,S02000493,Dunfermline East and Pitcorthie East
746,S02000494,Dunfermline Abbeyview South
747,S02000495,Burntisland East
748,S02000496,Dunfermline Brucefield
749,S02000497,Dunfermline Abbeyview North
750,S02000498,Crossgates and Halbeath
751,S02000499,Dunfermline Central
752,S02000500,Burntisland West
753,S02000503,Dunfermline Garvock Hill
754,S02000504,Dunfermline Baldridgeburn
755,S02000505,Dunfermline Headwell
756,S02000506,Kincardine
757,S02000507,Kinghorn
758,S02000508,Aberdour and Auchtertool
759,S02000509,Dunfermline Bellyeoman
760,S02000510,Dunfermline Milesmark and Wellwood
761,S02000511,"Oakley, Comrie and Blairhall"
762,S02000512,Kirkcaldy Linktown and Seafield
763,S02000513,Dunfermline Townhill and Kingseat
764,S02000514,Hill of Beath
765,S02000515,Cowdenbeath South
766,S02000516,Kirkcaldy Central
767,S02000517,Kirkcaldy Raith
768,S02000518,Kirkcaldy Bennochy East
769,S02000519,Cowdenbeath North
770,S02000520,Kirkcaldy Bennochy West
771,S02000521,Saline and Gowkall
772,S02000522,Kirkcaldy Pathhead
773,S02000523,Kirkcaldy Newliston and Redcraigs
774,S02000524,Kirkcaldy Hayfield and Smeaton
775,S02000525,Lochgelly West and Lumphinnans
776,S02000526,Kirkcaldy Templehall East
777,S02000527,Kirkcaldy Templehall West
778,S02000528,Dysart
779,S02000529,Lochgelly East
780,S02000530,Kirkcaldy Gallatown and Sinclairtown
781,S02000531,Kelty East
782,S02000532,Kelty West
783,S02000533,Kirkcaldy Dunnikier
784,S02000534,Cardenden
785,S02000535,Kirkcaldy Chapel
786,S02000536,Lochore and Crosshill
787,S02000537,Wemyss
788,S02000538,Ballingry
789,S02000539,Thornton and Kinglassie
790,S02000540,Buckhaven and Muiredge
791,S02000541,Methil Denbeath
792,S02000542,Glenrothes Stenton and Finglassie
793,S02000543,Methil West
794,S02000544,Glenrothes Pitteuchar
795,S02000545,Glenrothes Woodside
796,S02000546,Methil East
797,S02000547,Methil Methilhill
798,S02000548,Glenrothes Caskieberran and Rimbleton
799,S02000549,Glenrothes Auchmuty
800,S02000550,Windygates and Coaltown
801,S02001151,Low Blantyre and Bardykes
802,S02001152,Spittal
803,S02001153,Cambuslang Central
804,S02001154,High Crosshill
805,S02001155,Uddingston and Gardenside
806,S02001156,"Halfway, Hallside and Drumsagard"
807,S02001157,Westburn and Newton
808,S02001158,Bankhead South
809,S02001159,"Burgh, Eastfield and Silverbank"
810,S02001160,Burnhill and Bankhead North
811,S02001161,Shawfield and Clincarthill
812,S02001162,Farme Cross and Gallowflat North
813,S02001163,Blane Valley
814,S02001164,Sauchenford
815,S02001165,Bannockburn
816,S02001166,Cambusbarron and Carron Vall
817,S02001167,Strathendrick
818,S02001168,Borestone
819,S02001169,Stirling East
820,S02001170,Fallin
821,S02001171,Torbrex
822,S02001172,Town Centre
823,S02001173,Forthside
824,S02001174,Raploch
825,S02001175,Wallace
826,S02001176,Western Villages
827,S02001177,Logie
828,S02001178,Bridge of Allan
829,S02001179,Teith Valley
830,S02001180,Dunblane West
831,S02001181,Dunblane East
832,S02001182,Callander
833,S02001183,Highland
834,S02001184,IZ One
835,S02001185,IZ Two
836,S02001186,IZ Three
837,S02001187,IZ Four
838,S02001188,IZ Five
839,S02001189,IZ Six
840,S02001190,IZ Seven
841,S02001191,IZ Eight
